Station Name,ZIP,Latitude,Longitude
LADWP - Receiving Station C,90744,33.799476,-118.257977
LADWP - Valley Center Admin Lot,91405,34.208708,-118.444358
LADWP - Valley Generating Station,91352,34.241928,-118.390147
City of Lacey - City Hall Parking,98503,47.044011,-122.822404
Oregon Museum of Science and Industry (OMSI) - South Parking Lot,97214,45.508396,-122.664667
City of Ukiah - Public Parking Lot,95482,39.15,-123.2091
Nut Tree Village,95688,38.368755,-121.961192
Placer County Community Development Resource Center,95603,38.9412492,-121.1054805
4th and G Plaza Public Parking Garage,95616,38.54643,-121.7388
Davis Amtrak Station,95616,38.5443,-121.738
University of California - Davis - Quad Parking Structure,95616,38.544538,-121.749713
University Covenant Church,95618,38.55755,-121.6947
Wildhorse Golf Club,95618,38.569412,-121.721373
Lakewood Center Mall,90712,33.84788,-118.13889
Golden Gate Ferry Terminal,94939,37.94495,-122.5096
Oakland International Airport - Daily Lot,94621,37.7136,-122.2087
Seattle-Tacoma International Airport - General Parking,98188,47.443377,-122.296229
City of Champaign - Hill Street Parking Deck,61820,40.119161,-88.244185
Discovery Center of Idaho,83702,43.608009,-116.197968
Travis Park United Methodist Church,78205,29.427254,-98.490136
City of Keizer - City Hall,97303,44.99574,-123.019758
Nike - LA Garage,97006,45.508795,-122.8249
Fairfield Transportation Center,94533,38.2482,-122.0678
San Francisco City Hall,94102,37.77913,-122.418
METRO NASHVILLE FULTON GARAGE 1,37210,36.153492,-86.76732
LINCOLN CITY TAFT DUAL 1,97367,44.928439,-124.015824
New York Institute of Technology - Old Westbury Solar Carport Station,11568,40.814019,-73.608978
OUC RELIABLE 01,32801,28.535975,-81.379663
PUBLIC STATIONS WILLY ST E,53703,43.083979,-89.363091
Haggen Food & Pharmacy,98502,47.035421,-122.938962
LBCC  LBCC DUAL 2,97321,44.586123,-123.115389
Oregon Electric Group,97214,45.510465,-122.663354
Home Depot,93405,35.249929,-120.689683
San Luis Obispo Promenade - Bed Bath & Beyond,93401,35.25982,-120.676
New York State Energy Research Development Authority - Headquarters,12203,42.702424,-73.857693
Saratoga Technology & Energy Park,12020,42.969823,-73.773021
Central Hudson Gas & Electric,12601,41.688323,-73.93433
Avista Corp,99252,47.673347,-117.388933
Steam Plant Grill,99201,47.654998,-117.425025
Kum & Go #4110,50317,41.615759,-93.57875
Kum & Go #570,50131,41.682385,-93.698315
Kwik Trip #465,55433,45.138245,-93.274379
City of Little Rock,72201,34.74555969,-92.28119659
TUCSON RENTAL OFF NETWORK 1,85748,32.236156,-110.781792
Whole Foods Market,6820,41.072919,-73.476189
ARUNDEL MILLS  ELEMENT HOTELS,21076,39.155907,-76.717216
Element Hotels - Ewing,8628,40.286518,-74.807516
Lane Community College,97405,44.009797,-123.033213
BROOKFIELD PROP 300 CLAY STAT1,77002,29.756604,-95.372854
Hudson Valley Community College - TEC-SMART Building,12020,42.97167,-73.774182
Goleta Mechanics Bank,93117,34.44198,-119.829553
INTERPARK ADAMS WABASH 2,60603,41.879444,-87.626366
INTERPARK WILLIS TOWER 1,60606,41.879081,-87.634561
INTERPARK WASH FRANK NEW,60606,41.883404,-87.635081
INTERPARK LAKE & WELLS 2,60606,41.885223,-87.633751
INTERPARK 50 EAST OHIO 2,60611,41.892757,-87.626038
City of Spartanburg - Municipal Parking Garage,29306,34.950136,-81.93279
City of Spartanburg - Municipal Parking Garage,29306,34.951926,-81.931714
City of Union Town Hall,29379,34.715982,-81.624616
Whole Foods Market,6824,41.157925,-73.240315
Propark America - Omni Hotel Chapel Square Garage,6510,41.305794,-72.927405
City of New Haven - Air Rights Garage,6511,41.305265,-72.934141
City of New Haven - Temple Street Garage,6510,41.304245,-72.928369
Propark - Water Street Garage,6320,41.355486,-72.093784
Town of Westport - Westport Metro North,6880,41.119291,-73.369266
Park 'N Fly - Bradley International Airport,6078,41.951328,-72.663078
OLD TOWN DECK  GROUND LEVEL,49684,44.760253,-85.62237
GATEWAYKENOSHA  HORIZON MAINLOT,53144,42.592469,-87.915847
PUBLIC STATIONS GREENWAY STAT,53562,43.091229,-89.52884
Spinx #149,29206,34.042116,-80.939041
Baker Electric Building,44103,41.503373,-81.639054
McDonald's,25703,38.417603,-82.456866
OUC OC BARNETT 1,32808,28.560572,-81.441748
OUC OC MARKS ST 01,32803,28.556879,-81.377632
OUC OUC OCCC 03,32819,28.429015,-81.458938
OUC OC W LIBRARY 01,32811,28.528024,-81.44774
OUC OC MED EXAM 01,32806,28.512494,-81.351919
INTERPARK SOUTH LOOP 1,60604,41.877419,-87.630013
French Gerleman,63146,38.694036,-90.4218
HILLSBORO OR MAIN ST 1,97123,45.522609,-122.988535
HILLSBORO OR EV-8,97123,45.520533,-122.978089
BELLEVUE BELLEVUE CH 1,98004,47.614744,-122.193162
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,97214,45.509326,-122.666392
Liberty Park,84119,40.74686,-111.876
Salt Lake City Main Library,84111,40.759561,-111.883924
The Evergreen State College,98505,47.071917,-122.976675
The Hartford Financial Services Group - Lot 4,6105,41.770428,-72.687141
The Hartford Financial Services Group,6095,41.879631,-72.729919
JCCC MTC,66210,38.92591,-94.72819
SCHOOLCRAFT EDU LIBRARY 02,48152,42.419224,-83.431343
Courtyard Marriott - Hadley Amherst,1035,42.36262,-72.5395
City of Delray Beach - Banker's Row Parking Lot,33444,26.465314,-80.07219
KING COUNTY DOT ISSAQUAH P&R 2,98027,47.545324,-122.0195
King County - King County Van Distribution Center,98052,47.675897,-122.091237
Eversource,6106,41.765253,-72.671569
SEAPORT GARAGE EAST GARAGE2 P1,2210,42.349249,-71.041557
City of Columbia - Cannon Garage,29201,34.00741493,-81.0348006
City of Columbia - Washington Street Garage,29201,34.003323,-81.035693
City of Columbia - Arsenal Hill Garage,29201,34.008409,-81.041802
City of Columbia - Lincoln Street Garage,29201,34.002255,-81.040219
Greenville Zoo,29601,34.84709,-82.387269
City of Greenville - Poinsett Garage,29601,34.849724,-82.400667
City of Greenville - Spring Street Garage,29601,34.849889,-82.397797
City of Greenville - Church Street Garage,29601,34.852754,-82.393113
City of Columbia - Park Street Garage,29201,33.997786,-81.036161
City of Greenville - Commons Garage,29601,34.852789,-82.396195
City of Greenville - Liberty Square Garage,29601,34.85335,-82.394826
City of Greenville - Richardson Garage,29601,34.852437,-82.399901
City of Rock Hill - Municipal Garage,29730,34.925782,-81.028444
Timken Sports Complex,29379,34.716556,-81.648482
Lockhart Power,29364,34.77993955,-81.45735907
Toyota of Santa Monica,90401,34.019875,-118.49151
Parc 55 Hotel,94102,37.784871,-122.408991
Beach & Hyde Garage,94109,37.806798,-122.419488
City of Santa Monica - Civic Parking Garage,90401,34.010528,-118.4898
Denver International Airport - Canopy Airport Parking,80022,39.843886,-104.771138
Town of Superior - Town Hall,80027,39.953798,-105.166116
Charles Hotel - Harvard Square,2138,42.372442,-71.122882
Town of Dyer - Town Hall,46311,41.492057,-87.522819
Peaches Bed & Breakfast,49503,42.962078,-85.659019
GREEN MANGO GREEN MANGO 1,32218,30.485141,-81.662098
ComEd,60618,41.94629288,-87.69982
ComEd,60652,41.75497055,-87.71321
City Hall Annex - Town of Normal,61761,40.507796,-88.982897
College Avenue Parking Deck,61761,40.511172,-88.984985
State of Illinois - Governor's Mansion,62703,39.79628,-89.6504
Duke Energy,46168,39.70909,-86.3894
MCDONALD SWLA CHARGE AT MCD 1,70601,30.198704,-93.212318
ECM WEBER ELEC 1ST NATIONAL #1,55101,44.946632,-93.091461
3M,55117,44.95121,-92.9952
UWB CASCADIA CC NORTH DUAL 1,98011,47.761878,-122.191915
CITY OF REDMOND CITY HALL DUAL,98052,47.679224,-122.12995
CITY OF REDMOND MOC #1 PUBLIC,98052,47.672359,-122.099034
WILLOWS LODGE WILLOWS #2,98072,47.734211,-122.147041
PUBLIC STATIONS PINNACLE HEALTH,53719,43.011411,-89.459112
PUBLIC STATIONS WILLY ST W,53562,43.096636,-89.500008
City of Raleigh - Municipal Building,27601,35.778416,-78.64347
City of Raleigh - Downtown,27601,35.77435,-78.642287
Missouri University of Science and Technology - E3 Commons,65401,37.958953,-91.779289
Clay Cooley Nissan,78745,30.206145,-97.759109
Eversource Energy Park,3101,42.999265,-71.467911
Super 8 - Ukiah,95482,39.1458,-123.198497
KEMET Corp,29681,34.749177,-82.279741
Hotel Floyd,24091,36.910575,-80.31736
Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,23284,37.551409,-77.45233
Virginia Commonwealth University (VCU) - N-Deck Parking Deck,23298,37.543387,-77.42953
Kwik Trip #330,56011,44.62302,-93.756478
Kwik Trip #481,55066,44.567726,-92.624863
Kwik Trip #492,55317,44.842694,-93.53986
Kwik Trip #615,56003,44.17948,-94.036719
Kwik Trip #466,56082,44.314819,-93.963999
Kwik Trip #812,55304,45.218899,-93.310669
Oak Ridge Nissan,37830,36.010279,-84.268049
Newton Nissan South,37160,35.558371,-86.448276
McGavock Nissan - Abilene,79606,32.408909,-99.771463
McGavock Nissan - Amarillo,79119,35.159354,-101.938937
Don Davis Nissan,76018,32.676458,-97.087169
Town North Nissan,78758,30.374542,-97.731445
Baytown Nissan,77521,29.807253,-94.97383365
Mike Smith Nissan,77701,30.062535,-94.133511
Grubbs Nissan,76022,32.839339,-97.160994
Douglass Nissan,77845,30.639201,-96.30671
Ed Hicks Nissan,78415,27.73082,-97.416019
Clay Cooley Nissan,75237,32.646784,-96.863492
Classic Nissan,75020,33.775328,-96.58308
Casa Nissan,79925,31.783928,-106.417267
Viva Nissan,79936,31.724024,-106.302211
Nissan of Fort Worth,76116,32.721585,-97.478539
Texas Nissan of Grapevine,76051,32.928183,-97.09448
Charlie Clark Nissan,78552,26.186259,-97.734663
Baker Nissan North,77065,29.913418,-95.611942
Central Houston Nissan,77054,29.676558,-95.422537
McDavid Nissan,77034,29.625565,-95.22531
Mossy Nissan,77079,29.785494,-95.60022
Tom Peacock Nissan,77090,29.990205,-95.423096
Robbins Nissan,77338,29.990275,-95.275606
Clay Cooley Nissan,75062,32.849437,-96.914294
Katy Nissan,77494,29.775354,-95.817237
Bates Nissan,76543,31.078549,-97.692745
Sames Kingsville Nissan,78363,27.492086,-97.84753
Family Nissan of Laredo,78041,27.528418,-99.458211
Clear Lake Nissan,77573,29.484543,-95.10255
AutoNation Nissan - Lewisville,75067,33.022937,-96.988337
Patterson Nissan - Longview,75605,32.553772,-94.727241
McGavock Nissan,79424,33.535048,-101.958266
Nissan of McKinney,75069,33.161606,-96.644662
Trophy Nissan,75150,32.829838,-96.629967
Nissan of Midland,79707,32.024113,-102.151567
Twin City Nissan,77640,29.953433,-94.0071
Courtesy Nissan,75080,32.97135,-96.719803
Gillman Nissan,77471,29.534537,-95.772812
Round Rock Nissan,78681,30.54205,-97.69265
Jim Bass Nissan,76901,31.44646,-100.496244
Ancira Nissan,78230,29.543147,-98.57544
Gunn Nissan,78209,29.517253,-98.467365
Ingram Park Nissan,78238,29.457047,-98.625324
World Car Nissan,78233,29.556508,-98.34469
Nissan of San Marcos,78666,30.4963137,-97.6809454
Nissan of Silsbee,77656,30.314894,-94.18396
Sterling McCall Nissan,77477,29.645808,-95.57612
Garlyn Shelton Nissan,76502,31.079653,-97.410328
Peltier Nissan,75701,32.31165413,-95.34249986
Victory Nissan,77904,28.851423,-96.997881
Douglas Nissan,76712,31.495348,-97.160226
Southwest Nissan,76087,32.7561,-97.705239
Nissan of Wichita Falls,76309,33.88049,-98.545953
Passport Nissan - Alexandria,22304,38.809675,-77.122192
Priority Nissan - Chantilly,20151,38.899751,-77.460168
Colonial Nissan,22901,38.086121,-78.474663
Brown's Fairfax Nissan,22030,38.85358,-77.324803
Pomoco Nissan - Hampton,23666,37.042363,-76.388316
Sheehy Nissan - Manassas,20110,38.760854,-77.459274
Shell - YESS! Convenience 4U,23805,37.175139,-77.352948
SCIENCE MUSEUM SCIENCE MUSEUM1,23220,37.561646,-77.465974
First Team Nissan,24019,37.345779,-79.962578
Brown's Dulles Nissan,20166,39.010459,-77.438399
Priority Nissan,22182,38.927033,-77.240836
Tri-State Nissan,22602,39.156514,-78.147297
Rairdon's Nissan - Auburn,98002,47.338754,-122.221114
Bellingham Nissan,98229,48.755607,-122.454132
Advantage Nissan,98312,47.562162,-122.684286
Burien Nissan,98148,47.458466,-122.333257
Campbell-Nelson Nissan,98026,47.778229,-122.344838
Campbell Nissan - Everett,98204,47.90272982,-122.2469884
Olympia Nissan,98502,47.031067,-122.930247
Bill Robertson Nissan,99301,46.236607,-119.128998
Dan Wilder Nissan,98362,48.102863,-123.342273
Puyallup Nissan,98371,47.207367,-122.294997
Younker Nissan,98058,47.448354,-122.2188
Wendle Nissan,99218,47.739021,-117.409937
Dave Smith Nissan - Spokane,99212,47.657264,-117.312518
Tacoma Nissan,98409,47.21978,-122.48576
Alan Webb Nissan,98662,45.648094,-122.597954
O'Brien Nissan,99362,46.047464,-118.353406
Mountain View Nissan,37408,35.030251,-85.308376
Harold Mathews Nissan,37043,36.513006,-87.268667
Cookeville Nissan,38501,36.137109,-85.496453
Victory Nissan West,37055,36.023934,-87.340223
Rick Hill Nissan,38024,36.063277,-89.379485
Nissan of Cool Springs,37067,35.957857,-86.80853
Newton Nissan of Gallatin,37066,36.361376,-86.494932
Tri-Cities Nissan,37601,36.374198,-82.372119
Wallace Nissan Oldsmobile,37660,36.551978,-82.487762
Ted Russell Nissan,37919,35.920587,-84.067881
Rusty Wallace Nissan,37912,35.999617,-83.969451
Nissan of Rivergate,37115,36.29062,-86.7051
Roberts Nissan,37355,35.454702,-86.041805
Weakley County Motors,38237,36.369277,-88.849653
AutoNation Nissan - Memphis,38125,35.0353,-89.795859
Jim Keras Nissan,38128,35.181031,-89.895533
East Tennessee Nissan,37814,36.18226,-83.382387
Nissan of Murfreesboro,37129,35.854156,-86.394979
Action Nissan,37211,36.110606,-86.743585
Downtown Nashville Nissan,37228,36.191053,-86.793132
Carr Nissan,97005,45.491783,-122.81107
Lithia Nissan of Bend,97701,44.055213,-121.277279
Kiefer Nissan,97330,44.572608,-123.258425
Lithia Nissan of Eugene,97401,44.05902085,-123.0813975
Dick Hannah Nissan,97027,45.378967,-122.603899
Chuck Colvin Nissan,97128,45.227394,-123.180863
Lithia Nissan,97504,42.379969,-122.858192
Rustom Nissan - Portland,97230,45.531759,-122.537403
Power Nissan - Salem,97302,44.921582,-123.006236
Ray Schultens Nissan,97058,45.613979,-121.20996
Tonkin Nissan,97070,45.326814,-122.770853
Dick Smith Nissan,29210,34.055164,-81.128164
Dick Smith Nissan,29072,33.997902,-81.222504
Twin City Nissan,37701,35.830725,-83.974822
Wolfchase Nissan,38133,35.205818,-89.791337
Bill Gatton Nissan,37620,36.54282,-82.2354
Nissan of Chattanooga East,37421,35.056433,-85.190515
Benton Nissan - Hoover,35216,33.394903,-86.807186
Matt Bowers Nissan Eastern Shore,36526,30.660697,-87.858464
Lynn Layton Cad-Nissan,35601,34.563857,-86.972193
Jack Ingram Motors,36117,32.376832,-86.208559
Avondale Nissan,85323,33.459826,-112.284168
AutoNation Nissan - Chandler,85286,33.286316,-111.791107
Anderson Nissan,86404,34.54217,-114.35287
East Valley Nissan,85206,33.385361,-111.695062
Larry H Miller Nissan - Mesa,85201,33.434313,-111.872266
Peoria Nissan,85382,33.636921,-112.253682
ABC Nissan,85014,33.509862,-112.054162
Coulter Nissan,85388,33.605183,-112.420442
Midway Nissan,85023,33.639038,-112.108088
Pinnacle Nissan,85260,33.635224,-111.915739
AutoNation Nissan - Tempe,85284,33.346812,-111.967793
Jim Click Nissan,85705,32.289823,-110.985646
Thoroughbred Nissan,85711,32.207374,-110.881798
Antioch Nissan,94509,38.007799,-121.832042
Nissan of Bakersfield,93313,35.310723,-119.035324
Buena Park Nissan,90621,33.865497,-117.995215
Carson Nissan,90745,33.824968,-118.245675
Palm Springs Nissan,92234,33.78414,-116.471
Cerritos Nissan,90703,33.861544,-118.100471
Chico Nissan,95926,39.756332,-121.843715
Puente Hills Nissan,91748,33.997621,-117.928216
Lithia Nissan - Clovis,93612,36.836818,-119.717629
Nissan of Serramonte,94014,37.671267,-122.463541
Autocom Nissan - Concord,94520,37.980192,-122.050128
Larry H Miller Nissan,92882,33.88309,-117.615292
Orange Coast Nissan,92626,33.675397,-117.918684
Hanlees Nissan,95618,38.55252,-121.691555
Downey Nissan,90241,33.9473,-118.151166
Nissan of Duarte,91010,34.136553,-117.975944
Mossy Nissan - El Cajon,92020,32.795896,-116.976156
Ross Nissan of El Monte,91731,34.069536,-118.026911
Nissan of Elk Grove,95757,38.402217,-121.385527
Mossy Nissan - Escondido,92029,33.116492,-117.106837
McCrea Nissan,95501,40.800562,-124.164405
Future Nissan of Folsom,95630,38.634132,-121.204871
Fontana Nissan,92336,34.135345,-117.445732
Premier Nissan of Fremont,94538,37.489389,-121.9576
Lithia Nissan - Fresno,93710,36.818622,-119.789796
Imperio Nissan of Garden Grove,92844,33.766376,-117.968337
Gardena Nissan,90247,33.889201,-118.307028
South County Nissan,95020,36.996869,-121.558573
Glendale Nissan,91204,34.137054,-118.25536
Santa Barbara Nissan,93117,34.43427,-119.820934
Hayward Nissan,94544,37.662305,-122.075178
Pedder Nissan,92545,33.741163,-117.031718
Surf City Nissan,92647,33.71069,-117.989861
Nissan of Irvine,92618,33.632505,-117.723298
Torre Nissan,92253,33.70711,-116.283712
Nissan of Downtown Los Angeles,90015,34.035168,-118.273229
Universal City Nissan,90068,34.133446,-118.356601
Razzari Nissan,95340,37.305891,-120.502428
Nissan of Mission Hills,91345,34.269809,-118.466606
Central Valley Nissan,95356,37.705119,-120.99471
Metro Nissan of Montclair,91763,34.082404,-117.694876
Metro Nissan of Redlands,92374,34.065387,-117.212007
Napa Nissan,94559,38.292706,-122.277767
Mossy Nissan,91950,32.659001,-117.100836
Mossy Nissan - Oceanside,92056,33.181953,-117.298334
Stadium Nissan,92867,33.80857,-117.864434
Team Nissan,93036,34.22771,-119.150217
Antelope Valley Nissan,93551,34.591173,-118.138184
North Bay Nissan,94952,38.267202,-122.665068
Mossy Nissan - Poway,92064,32.956772,-117.025943
Crown Nissan,96002,40.571632,-122.36654
Boardwalk Nissan,94063,37.495963,-122.227322
Hanlees Hilltop Nissan,94806,37.985253,-122.32124
Raceway Nissan,92507,33.941878,-117.297603
Riverside Nissan,92504,33.925469,-117.419673
Future Nissan,95661,38.752198,-121.256452
Nissan of Sacramento,95821,38.631393,-121.396604
My Nissan,93907,36.720023,-121.662519
Larry H Miller Nissan - San Bernardino,92408,34.074378,-117.298
Mossy Nissan - Kearny Mesa,92111,32.833179,-117.147384
Pacific Nissan,92109,32.802475,-117.215269
Nissan Sunnyvale,94087,37.359362,-122.022783
Premier Nissan,95136,37.275144,-121.877656
Nissan - San Juan Capistrano,92675,33.47443,-117.676142
San Leandro Nissan,94577,37.712609,-122.162746
Coast Nissan,93405,35.25062,-120.68455
Stevens Creek Nissan,95051,37.323569,-121.988027
Jim Bone Nissan,95404,38.425537,-122.714089
Cardinale Nissan,93955,36.611189,-121.849899
Nissan of Van Nuys,91401,34.168824,-118.449059
First Nissan,93065,34.277324,-118.778957
Nissan of Stockton,95212,38.022022,-121.275339
Quality Nissan - Temecula,92591,33.516768,-117.155039
Tracy Nissan,95304,37.75990555,-121.4632052
Nissan of Tustin,92782,33.72484,-117.799302
Nissan of Vacaville,95687,38.381441,-121.941218
Champion Nissan,91355,34.420546,-118.557774
Vallejo Nissan,94590,38.118088,-122.255493
Valley Hi Nissan,92394,34.517883,-117.3219
Nissan of Visalia,93292,36.32327,-119.27569
West Covina Nissan,91791,34.074227,-117.890899
Firkins Nissan,34207,27.462023,-82.578036
Maus Nissan,34448,28.848733,-82.57947
Deland Nissan,32720,28.983689,-81.300079
Delray Nissan,33483,26.435016,-80.072333
Fort Lauderdale Nissan,33316,26.109825,-80.137099
Westside Nissan,32210,30.288306,-81.730832
Fuccillo Nissan,32244,30.212415,-81.736209
Rountree-Moore Nissan,32055,30.18082,-82.702224
Bill Seidle's Nissan,33172,25.783121,-80.366772
Palmetto 57 Nissan,33055,25.9262,-80.292105
AutoNation Nissan - Miami,33135,25.76506,-80.250516
AutoNation Nissan - Kendall,33157,25.609391,-80.348241
AutoNation Nissan - Pembroke Pines,33024,26.007358,-80.263072
Alan Jay Nissan,33870,27.485756,-81.481603
Wallace Nissan,34997,27.152729,-80.217708
Courtesy Nissan - Tampa,33614,27.995139,-82.506186
Ferman Nissan - North Tampa,33612,28.049764,-82.458596
Sutherlin Nissan,32962,27.585356,-80.376442
City of West Palm Beach - City Center Garage,33401,26.713894,-80.05421
Hill Nissan,33884,27.982961,-81.676059
Sutherlin Nissan - Mall of Georgia,30519,34.075281,-83.98366
Nalley Nissan of Atlanta,30360,33.907866,-84.283186
Gwinnett Place Nissan,30096,33.967935,-84.146036
Stone Mountain Nissan,30047,33.841932,-83.905677
AutoNation Nissan - Thornton Road,30122,33.784015,-84.612737
AutoNation Nissan - Marietta,30060,33.92909,-84.50889
Nissan South,30260,33.566938,-84.344405
Regal Nissan,30076,34.022437,-84.327529
Nissan South Union City,30291,33.565412,-84.521117
Five Star Nissan,31088,32.555572,-83.66552
New City Nissan,96819,21.335175,-157.88225
Jim Falk Motors - Maui,96732,20.8891,-156.458605
King Windward Nissan,96744,21.399116,-157.799326
Tony Nissan,96797,21.42849,-157.998343
Municipal Garage,21202,39.291785,-76.610539
Bel Air Nissan,21014,39.505659,-76.382317
Community College of Baltimore County (CCBC),21228,39.256947,-76.730918
Younger Nissan,21704,39.391175,-77.407835
Criswell Nissan,20874,39.177414,-77.249773
Passport Nissan - Marlow Heights,20746,38.82681,-76.923233
Darcars Nissan,20855,39.113757,-77.161016
Herb Gordon Nissan,20904,39.077447,-76.947933
Lawson Parking Ramp,55102,44.946327,-93.095535
Lower Town Parking Ramp,55101,44.947042,-93.088226
Currie Maintenance Facility,55415,44.977961,-93.282508
St. Paul Natural Resources Department,55108,44.973838,-93.156808
St. Paul Public Works Maintenance Garage,55103,44.967593,-93.127742
World Trade Center Parking Ramp,55101,44.948972,-93.0962
